Released;Version;BuildId
2025-02-01;8.2.1;-5208585787071477895
2024-11-30;8.2.0;5622969789605581043
2024-10-21;8.1.0;1144424320352243113
2024-09-21;8.0.0;5682047565851761744
2015-08-26;7.5;5872222636083894532
2014-11-26;7.4.9;7856197430637268730
2014-11-02;7.4.8;2206256872518096284
2014-06-16;7.4.7;7387415856693692460
2014-05-15;7.4.6;6014261340085365909
2014-05-01;7.4.5;4821399973326602576
2014-04-06;7.4.4;3281088046699773111
2014-03-19;7.4.3;8777717286242933587
2014-01-19;7.4.2;3062950457536830758
2014-01-17;7.4.1;100739950055265965
2013-12-05;7.4;398922531437627033
2013-11-29;7.3.9;8277385026396743218
2013-11-03;7.3.8;4055381689276722218
2013-08-31;7.3.7;4860752860103497010
2013-08-21;7.3.6;4479290705646695599
2013-07-14;7.3.5;3998447537643563056
2013-06-24;7.3.4;1337643882758240715
2013-05-12;7.3.3;3579099907128820985
2013-05-10;7.3.2;6398502043275053232
2013-04-14;7.3.1;7959143375722376590
2013-03-30;7.3;2795914217469013780
2013-03-22;7.2.18;8291566109997588475
2012-11-17;7.2.17;390165751149466756
2012-11-13;7.2.16;8507262710682540418
2012-10-30;7.2.15;1241161054210717343
2012-10-23;7.2.14;3319919020366903182
2012-10-14;7.2.13;5111443887180000643
2012-08-26;7.2.12;4213090418915638323
2012-08-25;7.2.11;1182089867223615882
2012-05-24;7.2.10;6388499314614472225
2012-05-17;7.2.9;2890964742659889522
2012-05-05;7.2.8;4408145301164483862
2012-04-29;7.2.7;2168295879478852067
2012-04-09;7.2.6;7012614880559051201
2012-01-26;7.2.5;3524359887604334410
2012-01-18;7.2.4;7464008258520651107
2011-08-20;7.2.3;-1
2011-08-28;7.2.2;4004230264633549822
2011-02-19;7.2.1;6676889719984660763
2011-01-23;7.2;6615271941412524462
2010-11-01;7.1.10;416074940963221133
2010-10-17;7.1.9;8466938897520224741
2010-09-29;7.1.8;3421822590554536650
2010-05-19;7.1.7;6434898851448381478
2009-12-07;7.1.6;2272253101714274105
2009-08-24;7.1.5;5224526104150483572
2009-08-02;7.1.4;5278315534136814768
2009-07-12;7.1.3;5395323866577938824
2009-06-12;7.1.2;5813306861864613399
2009-05-26;7.1.1;7602598322974948559
2009-04-21;7.1;2105312326281569706
2009-04-03;7.0.9;7299034069467778562
2009-03-21;7.0.8;7019623011660215288
2009-03-17;7.0.7;1391842375571115750
2009-03-07;7.0.6;231019873304483154
2009-03-05;7.0.5;5570316944386086207
2009-02-25;7.0-2;4370643633314966344
2009-02-15;7.0;8156499128785761244
2008-12-02;6.1;8785459451506899793
2008-04-28;6.0.7;11620171963739279
2008-04-27;6.0.6;5323430991191230653
2008-04-10;6.0.5;4765044255727194190
2008-04-09;6.0.4;2380639557663016217
2008-04-08;6.0.3;6668125177615540854
2008-04-07;6.0.2;8363716858549252512
2008-03-30;6.0.1;2736893395693886205
2008-03-26;6.0;7289397627058093710
2008-01-25;5.5.7;8290826359148479344
2008-01-15;5.5.6;1926729655347670856
2008-01-13;5.5.5;2367131098465853703
2007-12-20;5.5.4;4331497872542711431
2007-12-02;5.5.3;3675112183502703626
2007-11-09;5.5.2;2156529904998511409
2007-10-27;5.5.1;6892146605129115786
2007-10-14;5.5;5653799526062900358
2007-10-08;5.4;6222835200985278549
2007-09-21;5.3.5;7453350623295719521
2007-09-14;5.3.4;3732974506771028333
2007-09-01;5.3.3;-2622785387388097396
2007-08-24;5.3.2;-3366468978279844961
2007-08-19;5.3.1;4438212685798161280
2007-08-11;5.3;-4899974077672581254
2007-07-22;5.2.1;-1700699344456460829
2007-06-27;5.2;-1628055869823963574
2007-06-17;5.1;3274863990151426915
2007-06-05;5.0.2;-6307890396762748969
2007-05-30;5.0.1;2162742295696737000
2007-05-12;5.0;4945525256658487980